Image 1 Points (x1, y1), Image 2 Points (x2, y2)
550.535889, 246.891159, 556.587952, 248.832748
234.155182, 360.090515, 235.598145, 360.137451
234.155182, 360.090515, 235.598145, 360.137451
348.600281, 357.442017, 350.038544, 359.464691
336.342804, 341.672913, 337.925537, 343.419708
233.542328, 364.504700, 234.904846, 364.498779
394.994202, 346.565765, 395.472626, 348.166321
348.899017, 270.060303, 350.210480, 271.659271
297.062775, 349.741180, 298.017670, 350.429840
348.899017, 270.060303, 350.210480, 271.659271
283.396362, 370.761597, 284.288483, 372.075562
494.776825, 167.656845, 487.015045, 163.744141
454.952301, 228.229782, 456.747253, 228.673691
298.613190, 270.055664, 300.398621, 271.395020
298.613190, 270.055664, 300.398621, 271.395020
347.111755, 182.024460, 337.496277, 178.710754
363.833496, 342.516388, 366.235046, 344.458740
287.740387, 342.384216, 289.878479, 343.353790
250.447144, 262.605438, 252.951782, 263.168060
353.071594, 359.493256, 354.179993, 361.022064
310.407562, 175.866196, 301.809540, 172.847183
347.111755, 182.024460, 337.496277, 178.710754
540.063049, 273.808594, 545.764282, 275.873688
161.909317, 138.729462, 156.343216, 137.101990
257.620789, 358.808197, 260.653473, 360.119476
232.076675, 269.867767, 234.877335, 270.308868
317.758728, 254.111603, 320.536011, 255.339905
339.854218, 267.447052, 341.623962, 268.249390
261.944885, 357.115234, 262.778015, 357.324615
332.376343, 267.717651, 334.455597, 268.485840
170.292679, 197.085510, 163.077606, 194.119736
479.792145, 212.993088, 481.932861, 213.200790
466.194763, 242.967407, 467.896179, 243.561432
427.091492, 249.042252, 428.467682, 249.520935
448.030731, 276.467682, 449.263947, 277.515778
463.211731, 115.922874, 465.464691, 112.168320
343.650665, 178.622574, 333.895294, 175.401672
242.334641, 354.078491, 243.462997, 354.151123
329.153381, 254.322388, 331.227661, 255.247437
480.842102, 222.919891, 482.967407, 223.455933
225.802719, 269.859467, 228.737961, 270.394653
259.445984, 159.783936, 253.910461, 158.125015
396.029968, 263.315979, 396.662689, 264.000702
369.677277, 334.709869, 372.910828, 336.722992
327.456512, 264.309937, 329.245575, 265.055359
332.376343, 267.717651, 334.455597, 268.485840
481.049194, 245.382660, 482.964386, 245.977127
229.491180, 263.266693, 232.529572, 263.766693
361.071686, 345.838898, 362.650299, 347.429871
473.794250, 228.911423, 476.043945, 229.294189
532.774963, 212.280304, 538.136475, 212.878036
574.573914, 162.862793, 575.915710, 159.990784
510.221008, 168.669281, 501.847565, 164.507721
491.264130, 176.612671, 483.679535, 173.022659
373.870087, 348.119019, 375.422241, 349.960480
195.128540, 260.868958, 195.143875, 259.938995
466.194763, 242.967407, 467.896179, 243.561432
240.135345, 262.896973, 242.929520, 263.439819
473.794250, 228.911423, 476.043945, 229.294189
466.194763, 242.967407, 467.896179, 243.561432
451.803253, 307.858307, 453.259521, 309.555817
242.887207, 312.941925, 250.698700, 314.401276
242.887207, 312.941925, 250.698700, 314.401276
562.532776, 139.419815, 563.991028, 137.050339
274.660400, 358.307770, 275.772797, 358.921173
417.785828, 289.091644, 418.819061, 290.174408
262.867767, 177.688141, 254.925186, 175.084274
298.069458, 353.275055, 298.674286, 353.955566
446.911957, 305.763123, 448.332733, 307.348755
239.266327, 269.028656, 242.293930, 269.504608
366.376099, 253.907043, 369.033630, 255.179382
431.403961, 148.701141, 422.185089, 143.475128
443.931763, 251.995041, 445.359131, 252.684814
366.642181, 264.548035, 368.171387, 265.357880
264.395966, 266.390991, 266.698090, 266.943695
337.953125, 354.959595, 338.900970, 356.241669
335.213287, 271.860474, 336.741425, 272.625580
376.864868, 174.830551, 366.774078, 171.283310
484.651550, 176.850159, 477.110260, 173.262817
414.265991, 224.069855, 415.946747, 224.380585
538.022156, 280.037933, 544.864319, 282.321503
487.287781, 179.955521, 479.633667, 176.447708
322.720459, 180.904099, 313.074524, 177.746338
478.299072, 252.334930, 480.264374, 253.252945
482.199554, 276.658112, 484.062286, 277.768555
570.550476, 139.580200, 572.582214, 137.453796
246.098770, 291.271637, 251.065216, 292.369354
301.636230, 362.594086, 302.340515, 363.440186
478.048187, 225.920563, 480.124298, 226.143234
377.803345, 259.696381, 379.500549, 260.693146
303.984161, 353.546722, 304.637390, 354.409912
441.878479, 300.752655, 443.140228, 302.056702
478.048187, 225.920563, 480.124298, 226.143234
418.322937, 360.662781, 420.561859, 364.310364
484.651550, 176.850159, 477.110260, 173.262817
249.467361, 269.371552, 251.612671, 269.861053
229.491180, 263.266693, 232.529572, 263.766693
218.834702, 186.341202, 211.804962, 183.764236
374.041199, 338.583679, 376.566406, 340.712646
482.199554, 276.658112, 484.062286, 277.768555
411.545807, 207.134644, 413.506836, 207.517395
364.220062, 350.989441, 365.164429, 352.834015
312.929962, 178.385971, 304.018799, 175.382599
441.878479, 300.752655, 443.140228, 302.056702
375.814606, 266.344360, 377.665161, 267.382050
374.632599, 257.155151, 376.645294, 258.221008
540.418091, 262.755829, 545.895874, 264.290955
502.906128, 211.089920, 505.606995, 211.148590
539.545532, 170.905548, 535.520081, 169.149933
472.949615, 310.970367, 476.451477, 313.348602
291.751923, 344.263062, 293.234039, 345.040466
493.943298, 161.612473, 486.293274, 157.792892
229.184128, 353.788940, 230.808945, 353.749603
406.209381, 178.409149, 394.999939, 174.077682
380.531830, 262.312164, 382.052185, 263.208984
414.765961, 324.212219, 415.850891, 325.787994
417.809143, 340.173615, 418.800873, 341.990540
240.555923, 227.513016, 248.119659, 228.805695
351.390015, 184.506119, 343.244598, 184.592209
364.760040, 341.738251, 366.957642, 343.453674
248.734146, 252.093887, 252.382309, 253.262817
539.545532, 170.905548, 535.520081, 169.149933
374.176239, 243.420822, 377.705139, 245.731537
235.685272, 354.896545, 237.112259, 354.928040
482.441467, 253.398224, 484.404907, 254.114182
257.504242, 264.655121, 259.875427, 265.253845
365.847809, 372.016083, 368.342285, 373.814850
383.261292, 364.893921, 384.836212, 367.130920
193.737869, 183.628525, 185.942917, 180.658173
316.114929, 180.983734, 306.869629, 177.949860
332.307129, 352.805420, 333.140381, 354.095490
188.471710, 176.310440, 181.411270, 173.656219
351.390015, 184.506119, 343.244598, 184.592209
364.220062, 350.989441, 365.164429, 352.834015
537.338257, 269.082062, 542.424011, 270.831146
364.760040, 341.738251, 366.957642, 343.453674
193.542709, 176.539062, 186.002380, 173.773682
481.449432, 263.546326, 483.391144, 264.784119
479.249939, 259.249054, 481.239380, 260.013275
172.427261, 337.814545, 173.602280, 336.489777
564.354797, 151.276001, 565.470398, 149.385223
566.037903, 159.302628, 567.112061, 157.081009
188.933548, 260.804077, 189.222702, 259.960754
234.977798, 251.464111, 239.733780, 252.893829
327.519592, 271.889191, 329.638641, 272.566467
374.928986, 352.467651, 376.025482, 354.235138
276.770660, 362.985199, 277.673279, 363.550446
320.378571, 343.216034, 322.072418, 344.515717
240.555923, 227.513016, 248.119659, 228.805695
380.896362, 340.458740, 382.980865, 342.564117
175.055161, 160.323288, 168.890274, 158.093231
166.621124, 174.714264, 160.398468, 172.256393
541.738159, 251.778580, 547.172485, 253.235397
268.129974, 338.433563, 270.785736, 339.401581
323.981018, 259.817596, 325.805939, 260.573456
413.748138, 308.550171, 415.060394, 310.032410
229.184128, 353.788940, 230.808945, 353.749603
330.780548, 346.173279, 332.143402, 347.522461
422.896332, 143.778610, 414.742035, 139.591370
360.785004, 164.017273, 352.766754, 161.045532
386.512054, 267.107239, 387.830811, 267.926208
224.198700, 384.460571, 226.544708, 384.319092
174.779358, 259.712311, 192.637360, 247.913605
468.940552, 249.480240, 470.614594, 250.048401
461.762390, 184.973984, 452.835083, 181.244827
221.869202, 273.565155, 224.647781, 273.975708
443.931763, 251.995041, 445.359131, 252.684814
480.961914, 167.185577, 473.493713, 163.506485
218.591629, 263.497498, 221.984680, 264.027130
437.618225, 345.645874, 440.716217, 348.547089
444.488556, 309.712250, 445.586761, 311.199341
396.634460, 269.967285, 397.239105, 270.461029
444.319031, 206.868851, 446.142700, 207.107407
