Image 1 Points (x1, y1), Image 2 Points (x2, y2)
550.535889, 246.891159, 550.334900, 244.795959
484.651550, 176.850159, 485.226776, 182.324692
484.651550, 176.850159, 485.226776, 182.324692
485.907257, 183.380524, 486.398102, 188.912796
491.264130, 176.612671, 491.825104, 182.197098
480.299774, 226.342545, 480.295502, 226.270462
234.155182, 360.090515, 234.687897, 357.901489
365.847809, 372.016083, 365.972382, 368.038452
396.634460, 269.967285, 396.464844, 269.005005
487.287781, 179.955521, 487.787415, 185.532837
234.155182, 360.090515, 234.687897, 357.901489
239.266327, 269.028656, 239.585526, 267.629059
454.952301, 228.229782, 455.016083, 227.631882
335.213287, 271.860474, 335.189911, 270.446045
261.944885, 357.115234, 262.516144, 354.986816
246.098770, 291.271637, 246.730164, 288.220947
537.775574, 279.624298, 536.925781, 277.185089
327.519592, 271.889191, 327.617981, 270.419678
546.963989, 246.064346, 547.352173, 244.222382
227.775742, 388.397949, 228.298477, 384.148285
274.435120, 177.428650, 274.487732, 183.324432
510.221008, 168.669281, 511.099792, 175.375610
384.588806, 293.265961, 384.592133, 290.254242
332.376343, 267.717651, 332.182251, 266.231995
473.794250, 228.911423, 473.775177, 228.195587
437.618225, 345.645874, 437.641388, 341.872101
175.055161, 160.323288, 174.610779, 166.849121
161.909317, 138.729462, 161.043686, 145.096191
528.356262, 266.963623, 528.102661, 264.074341
377.991577, 372.757233, 377.789368, 368.700775
472.949615, 310.970367, 471.725647, 307.871643
263.103424, 262.531281, 263.191772, 261.232941
343.650665, 178.622574, 343.709381, 185.037781
232.076675, 269.867767, 232.113007, 268.402069
466.194763, 242.967407, 466.089722, 242.361435
242.887207, 312.941925, 243.281067, 309.414978
396.029968, 263.315979, 395.911316, 262.553162
243.023026, 271.760803, 243.207138, 270.394379
479.428375, 176.174652, 479.915558, 181.713470
274.660400, 358.307770, 274.921265, 356.062225
242.887207, 312.941925, 243.281067, 309.414978
540.063049, 273.808594, 539.644409, 271.690918
356.883057, 267.792511, 356.600128, 266.319305
481.449432, 263.546326, 481.110596, 262.613373
427.855957, 334.643982, 428.163757, 330.576935
232.137497, 183.346405, 231.893036, 189.344864
380.531830, 262.312164, 380.401337, 261.000977
479.428375, 176.174652, 479.915558, 181.713470
310.407562, 175.866196, 310.554474, 181.792297
183.746109, 287.724884, 184.087875, 291.686615
264.395966, 266.390991, 264.582031, 264.922974
276.846680, 353.685303, 277.022583, 351.406494
437.618225, 345.645874, 437.641388, 341.872101
298.613190, 270.055664, 297.880188, 267.190735
478.048187, 225.920563, 478.076599, 225.176102
310.410767, 268.929291, 310.626526, 267.635376
291.360748, 349.384155, 291.407623, 347.123718
298.613190, 270.055664, 297.880188, 267.190735
322.720459, 180.904099, 322.675140, 187.202118
477.093811, 232.348831, 477.121307, 231.560242
566.037903, 159.302628, 567.032959, 160.695145
406.209381, 178.409149, 406.464508, 185.528076
276.846680, 353.685303, 277.022583, 351.406494
240.135345, 262.896973, 240.301239, 261.566101
482.199524, 180.580841, 482.725647, 186.203201
303.984161, 353.546722, 303.992004, 351.351074
229.491180, 263.266693, 229.683701, 261.843170
148.548813, 297.438416, 149.244644, 301.180939
312.929962, 178.385971, 313.027679, 184.517410
562.532776, 139.419815, 563.863281, 140.539246
